Metric,input_space_type,parameter_combination,knn_Outcome_score,nn_Outcome_score,knn_batch_score,nn_batch_score,knn_Age_r2,nn_Age_r2,knn_Outcome_accuracy,nn_Outcome_accuracy
knn_Outcome_score,scANVI,two_stages_False_stage2_joint_stage1val_loss_stage2val_loss,0.9166666666666666,,,,,,,
knn_Outcome_score,scANVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_loss,0.9166666666666666,,,,,,,
knn_Outcome_score,scANVI,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss,0.8333333333333334,,,,,,,
knn_Outcome_score,scANVI,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,0.8333333333333334,,,,,,,
knn_Outcome_score,scANVI,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn,0.8333333333333334,,,,,,,
nn_Outcome_score,scVI,two_stages_False_stage2_joint_stage1val_loss_stage2val_nn,,0.5833333333333334,,,,,,
nn_Outcome_score,scANVI,two_stages_False_stage2_joint_stage1val_loss_stage2val_knn,,0.5833333333333334,,,,,,
nn_Outcome_score,scVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_nn,,0.5833333333333334,,,,,,
nn_Outcome_score,scANVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_knn,,0.5833333333333334,,,,,,
nn_Outcome_score,pca,two_stages_False_stage2_joint_stage1val_knn_stage2val_nn,,0.5416666666666666,,,,,,
knn_batch_score,pca,two_stages_True_stage2_joint_stage1val_knn_stage2val_nn,,,0.9642857142857144,,,,,
knn_batch_score,pca,two_stages_True_stage2_joint_stage1val_loss_stage2val_nn,,,0.9642857142857144,,,,,
knn_batch_score,pca,two_stages_True_stage2_joint_stage1val_loss_stage2val_loss,,,0.8928571428571429,,,,,
knn_batch_score,pca,two_stages_False_stage2_joint_stage1val_loss_stage2val_nn,,,0.8928571428571429,,,,,
knn_batch_score,pca,two_stages_True_stage2_joint_stage1val_knn_stage2val_knn,,,0.8928571428571429,,,,,
nn_batch_score,pca,two_stages_False_stage2_joint_stage1val_knn_stage2val_knn,,,,0.2857142857142857,,,,
nn_batch_score,pca,two_stages_False_stage2_joint_stage1val_loss_stage2val_knn,,,,0.2857142857142857,,,,
nn_batch_score,pca,two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn,,,,0.2142857142857142,,,,
nn_batch_score,pca,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,,,,0.2142857142857142,,,,
nn_batch_score,pca,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn,,,,0.2142857142857142,,,,
knn_Age_r2,pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss,,,,,0.5950707811386088,,,
knn_Age_r2,pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss,,,,,0.5950707811386088,,,
knn_Age_r2,scVI,two_stages_True_stage2_joint_stage1val_loss_stage2val_loss,,,,,0.5579997963132703,,,
knn_Age_r2,scVI,two_stages_True_stage2_joint_stage1val_knn_stage2val_loss,,,,,0.5579997963132703,,,
knn_Age_r2,pca,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn,,,,,0.5579997963132701,,,
nn_Age_r2,pca,two_stages_False_stage2_joint_stage1val_loss_stage2val_knn,,,,,,-4.535749996345781,,
nn_Age_r2,pca,two_stages_False_stage2_joint_stage1val_knn_stage2val_knn,,,,,,-4.535749996345781,,
nn_Age_r2,scVI,two_stages_True_stage2_joint_stage1val_knn_stage2val_nn,,,,,,-5.98433143496707,,
nn_Age_r2,scVI,two_stages_True_stage2_joint_stage1val_loss_stage2val_nn,,,,,,-5.98433143496707,,
nn_Age_r2,scANVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_knn,,,,,,-7.286111626690312,,
knn_Outcome_accuracy,pca,two_stages_False_stage2_joint_stage1val_knn_stage2val_loss,,,,,,,0.75,
knn_Outcome_accuracy,pca,two_stages_False_stage2_joint_stage1val_loss_stage2val_loss,,,,,,,0.75,
knn_Outcome_accuracy,scANVI,two_stages_False_stage2_joint_stage1val_loss_stage2val_nn,,,,,,,0.625,
knn_Outcome_accuracy,scANVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_nn,,,,,,,0.625,
knn_Outcome_accuracy,scANVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_knn,,,,,,,0.5833333333333334,
nn_Outcome_accuracy,pca,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,,,,,,,,0.25
nn_Outcome_accuracy,scVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_loss,,,,,,,,0.25
nn_Outcome_accuracy,scANVI,two_stages_False_stage2_joint_stage1val_knn_stage2val_loss,,,,,,,,0.25
nn_Outcome_accuracy,pca,two_stages_False_stage2_joint_stage1val_loss_stage2val_loss,,,,,,,,0.25
nn_Outcome_accuracy,pca,two_stages_False_stage2_joint_stage1val_loss_stage2val_nn,,,,,,,,0.25
